"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipStreamCreate",4,266151073,66537768,49.88084981422265
"hipFree",1,199909884,199909884,37.46622092401886
"hipDeviceSynchronize",1,66628112,66628112,12.487144277179773
"hipLaunchKernel",2,863387,431693,0.1618121497430606
"hipMalloc",1,16869,16869,0.0031615129183271105
"__hipPushCallConfiguration",2,1860,930,0.0003485929235928879
"hipSetDevice",1,1299,1299,0.00024345279986406524
"__hipPopCallConfiguration",2,1170,585,0.0002192761938729456
