Issue key,Issue id,Summary,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Custom field (Closed Date),Created,Custom field (Rejected Date),Custom field (Triage Category),Custom field (Triage Assignment),Priority,Custom field (Assessed Date),Custom field (Analyzed Date)
LWPVATS-335,1546659,[Gibraltar][GBT-NV12] Unable to run 20200307.zip drop on GBT/Semitruck system with NV12.,,,,,,,,,12/Mar/20 3:36 PM,,,,Undefined,,
SWDEV-226965,1546641,[Gibraltar][V340L] See PCIe resource issue with 20200307 drops VBIOS with GBT system + 7 V340L ,MUST_FIX,,,,,,,28/May/20 9:28 PM,12/Mar/20 3:17 PM,28/May/20 3:02 PM,GPU Virtualization,General,P2 (Must Solve),,
SWDEV-226782,1542906,[Gibraltar]151177156 sched warning messages in dmesg,"CST,",Gibraltar,,,,,,,11/Mar/20 3:46 PM,,GPU Virtualization,Hypervisor Driver,P2 (Must Solve),11/Mar/20 5:13 PM,13/Mar/20 7:50 PM
CMSPPT-1647,1537449,Request for new Gerrit Repo: /amd/ec/fae/tlee_pe,,,,,,,,,09/Mar/20 11:51 AM,,,,Undefined,09/Mar/20 12:23 PM,09/Mar/20 12:23 PM
SWDEV-225828,1535100,[Gibraltar] 150806116 serial number is 0 on all v540 cards ,"CST,",Gibraltar,,,,,,10/Mar/20 2:13 PM,05/Mar/20 11:26 AM,09/Mar/20 10:53 AM,GPU Virtualization,Hypervisor Driver,P2 (Must Solve),,
SWDEV-225689,1534366, 150141176 Unrecognized device when fetching driver version,CST,Gibraltar,SMILIB,,,,,,04/Mar/20 5:00 PM,05/Mar/20 9:58 AM,GPU Virtualization,Hypervisor Driver,P2 (Must Solve),,
SWDEV-225687,1534363,"[Gibraltar] 150389552 allocate should return an error to indicate no free VF;s available",CST,Gibraltar,SMILIB,,,,,,04/Mar/20 4:55 PM,06/Mar/20 5:57 AM,,,Undefined,,
SWDEV-225685,1534357,[Gibraltar] 150138425 gpuvsmi should provide meaningful return value,CST,Gibraltar,SMILIB,,,,,,04/Mar/20 4:43 PM,06/Mar/20 5:53 AM,GPU Virtualization,Hypervisor Driver,P2 (Must Solve),,
SWDEV-225683,1534354,[Gibraltar] 150391858 gpuvsmi_free_vf needs parent device handle?,CST,Gibraltar,SMILIB,,,,,,04/Mar/20 4:40 PM,06/Mar/20 3:40 AM,,,Undefined,,
SWDEV-225682,1534350,[Gibraltar] 150401223 kernel tracebacks when clearing FB,CST,Gibraltar,,,,,,21/Jul/20 1:13 PM,04/Mar/20 4:37 PM,,GPU Virtualization,Hypervisor Driver,P3 (Solution Desired),06/Apr/20 9:16 PM,07/Apr/20 8:40 AM
SWDEV-225678,1534341,"[Gibraltar] 150401603 Failed to send message"" in dmesg when allocate fails ",Gibraltar,navi12,,,,,,11/Mar/20 3:27 PM,04/Mar/20 4:26 PM,,GPU Virtualization,Hypervisor Driver,P1 (Gating),09/Mar/20 1:53 PM,09/Mar/20 1:54 PM
SWDEV-225676,1534338,"[Gibraltar] 150738439 libsmi compile errors, need to enforce make rule","CST,",Gibraltar,SMILIB,,,,,06/Mar/20 6:16 AM,04/Mar/20 4:22 PM,,GPU Virtualization,Hypervisor Driver,P2 (Must Solve),06/Mar/20 4:00 AM,06/Mar/20 4:33 AM
SWDEV-225666,1534314,[Gibraltar] 150790088 gpu init failure with dmesg errors when libgv module is loaded,"CST,",Gibraltar,,,,,,13/Mar/20 8:35 AM,04/Mar/20 3:59 PM,13/Mar/20 8:35 AM,GPU Virtualization,Hypervisor Driver,P2 (Must Solve),11/Mar/20 4:23 AM,13/Mar/20 8:35 AM
SWDEV-225465,1533255,[Gibraltar] 150639101 API to get VF's allocated in a PF,CST,Gibraltar,,,,,,24/Apr/20 11:18 AM,03/Mar/20 5:16 PM,06/Mar/20 11:31 AM,GPU Virtualization,GPUV-SMI-LIB,P2 (Must Solve),,
SWDEV-225464,1533251,[Gibraltar] 150642156 API to get parent device for VF,CST,gibraltar,,,,,,16/Jul/20 1:52 PM,03/Mar/20 5:13 PM,16/Jul/20 4:03 AM,GPU Virtualization,Hypervisor Driver,Undefined,,
SWDEV-225461,1533245,[Gibraltar]  150469960 Common API to get handle for PF and VF,CST,Gibraltar,SMILIB,,,,,,03/Mar/20 5:10 PM,06/Mar/20 3:29 AM,GPU Virtualization,Hypervisor Driver,P2 (Must Solve),,
SWDEV-225442,1533057,[Gibraltar] 50138425 gpuvsmi_init failed with SMI_ERR_API_FAILED error ,"CST,",Gibraltar,,,,,,,03/Mar/20 3:22 PM,16/Jul/20 4:02 AM,GPU Virtualization,Hypervisor Driver,Undefined,,
SWDEV-225439,1533034,[Gibraltar] 50138425 gpuvsmi_init failed with SMI_ERR_API_FAILED error ,,,,,,,,,03/Mar/20 3:04 PM,06/Mar/20 12:42 AM,GPU Virtualization,Hypervisor Driver,Undefined,,
SWDEV-225431,1533000,[Gibraltar] 50138425 gpuvsmi_init failed with SMI_ERR_API_FAILED error ,,,,,,,,,03/Mar/20 2:40 PM,06/Mar/20 12:42 AM,GPU Virtualization,Hypervisor Driver,Undefined,,
SWDEV-225430,1532996,[Gibraltar] 50138425 gpuvsmi_init failed with SMI_ERR_API_FAILED error ,,,,,,,,,03/Mar/20 2:38 PM,06/Mar/20 12:42 AM,GPU Virtualization,Hypervisor Driver,Undefined,,
SWDEV-224815,1529614,[Gibraltar] 150404969 Are VF's allocated when modules are loaded?,,,,,,,,24/Apr/20 3:42 AM,27/Feb/20 5:15 PM,28/Feb/20 11:11 AM,GPU Virtualization,Hypervisor Driver,P2 (Must Solve),,
SWDEV-224809,1529591,"[Gibraltar] 150401603  ""Failed to send message"" in dmesg when allocate fails",,,,,,,,,27/Feb/20 4:54 PM,05/Mar/20 4:09 AM,GPU Virtualization,Hypervisor Driver,Undefined,,
SWDEV-224801,1529513,[Gibraltar] 150371658 Improve libgv logging to help parsing,CST,Gibraltar,,,,,,07/May/20 6:50 PM,27/Feb/20 3:49 PM,,GPU Virtualization,Hypervisor Driver,P2 (Must Solve),09/Apr/20 1:09 PM,09/Apr/20 1:09 PM
SWDEV-224795,1529467,[Gibraltar] 150012096 libsmi error debugging,CST,Gibraltar,SMILIB,,,,,,27/Feb/20 3:15 PM,,GPU Virtualization,Hypervisor Driver,P2 (Must Solve),02/Mar/20 3:52 AM,16/Mar/20 4:18 AM
SWDEV-224789,1529457,[Gibraltar] 149846689 Provide test for clearing and verifying framebuffer,CST,Gibraltar,SMILIB,,,,,10/Mar/20 12:13 PM,27/Feb/20 3:04 PM,28/Feb/20 11:17 AM,GPU Virtualization,Hypervisor Driver,P2 (Must Solve),,
SWDEV-224600,1528286,[Gibraltar] 150201887 gpuvsmi_allocate_vf failed with error SMI_ERR_API_FAILED,SMIDRV,SMILIB,,,,,,28/Apr/20 2:20 PM,26/Feb/20 1:58 PM,06/Mar/20 11:18 AM,GPU Virtualization,GPUV-SMI-LIB,P2 (Must Solve),06/Mar/20 5:30 AM,
SWDEV-224587,1528239,[Gibraltar] 150235872 ROCm libraries should not require external runtime dependencies,GibraltarML,GibraltarML-external,,,,,,,26/Feb/20 1:03 PM,,Radeon Open Compute,Compiler - Assembler/Dissembler,P2 (Must Solve),18/Sep/20 2:09 PM,18/Sep/20 2:11 PM
SWDEV-224586,1528237,[Gibraltar] 150132120 rock-dkms package fails to build the driver for linux kernel 5.1,GibraltarML,GibraltarML-external,ROCm3.3,,,,,28/Apr/20 2:42 PM,26/Feb/20 1:01 PM,,Radeon Open Compute,Kernel,P2 (Must Solve),28/Apr/20 2:40 PM,28/Apr/20 2:41 PM
SWDEV-224023,1524795,clinfo utility output: SIMD / CU count displayed incorrectly on NAVI12,CST,,,,,,,,21/Feb/20 3:12 PM,,Linux - Pro (amdgpu),Radeon Compute Runtime_OpenCL,P3 (Solution Desired),06/Mar/20 3:24 PM,06/Mar/20 3:24 PM
RTGPLAT-3630,1524084,"[NV12] Gibraltar reports the checksum of the remote management FW is non-zero, not comply to IPMI spec",Gibraltar,,,,,,,02/Mar/20 10:26 AM,20/Feb/20 3:33 PM,,Board/Socket Related,Board Design,P1 (Gating),,25/Feb/20 2:30 PM
SWDEV-223567,1522130,[GIbraltar] 149740818 Can we pull from github using ssh instead of https,GibraltarML,GibraltarML-external,,,,,,,18/Feb/20 5:12 PM,,Radeon Open Compute,Installation and Packaging,P2 (Must Solve),18/Mar/20 1:56 PM,20/Mar/20 5:54 PM
SWDEV-223566,1522128,[Gibraltar] 149743537 - Error calling repo sync,GibraltarML,GibraltarML-external,,,,,,,18/Feb/20 5:09 PM,28/Feb/20 12:36 PM,Radeon Open Compute,Installation and Packaging,P2 (Must Solve),,
SWDEV-223564,1522122,[GIbraltar] 149769907 Troubles with build_rocm.sh,GibraltarML,GibraltarML-external,,,,,,06/May/20 3:33 PM,18/Feb/20 4:59 PM,,Radeon Open Compute,Compiler - HCC,P4 (No Impact/Notify),20/Feb/20 3:53 PM,20/Feb/20 3:53 PM
SWDEV-223531,1521945,[Gibraltar] 148952661 sysfs files reporting more GPU than what is present,CST,Gibraltar,,,,,,,18/Feb/20 1:55 PM,11/Mar/20 8:23 AM,GPU Virtualization,Hypervisor Driver,P2 (Must Solve),,
SWDEV-222901,1517530,[Gibraltar] 148797806 OpenCL update needed for v540,CST,Gibraltar,,,,,,06/May/20 3:39 PM,12/Feb/20 12:54 PM,,GPU Virtualization,Linux Guest Base Driver,P3 (Solution Desired),06/May/20 3:38 PM,06/May/20 3:38 PM
LWPVATS-50,1515652,[VATS2] tdr_3.py Some of the log.error convey improper information,,,,,,,,,10/Feb/20 5:57 PM,,GPU Virtualization,VATS2,Undefined,12/Feb/20 6:50 AM,12/Feb/20 6:50 AM
LWPVATS-51,1515390,[Gibraltar][SRIOV][NV12][VATS] Add test case similar to TESTSMC failure. ,,,,,,,,,10/Feb/20 1:04 PM,,GPU Virtualization,VATS2,Undefined,,18/Feb/20 6:56 AM
SWDEV-222451,1514194,[Gibraltar] 148962625 Error injection tool using libgv/libsmi ,CST,Gibraltar,,,,,,,07/Feb/20 6:51 PM,22/Oct/20 11:18 PM,GPU Virtualization,Hypervisor Driver,P2 (Must Solve),,
SWDEV-222450,1514189,[Gibraltar] 148477889 Provide example for gpuvsmi_get_host_driver_version,CST,gibraltar,,,,,,10/Oct/20 1:02 AM,07/Feb/20 6:31 PM,,GPU Virtualization,Hypervisor Driver,P3 (Solution Desired),10/Oct/20 12:58 AM,10/Oct/20 1:00 AM
PLAT-58551,1513650,143968606 [Gibraltar] gpu initialization skipped due to bad - AMDGIM_ERROR_PF_POST_VBIOS_FAIL,CST,gibraltar,gibraltar_customer,,,,,,07/Feb/20 12:43 PM,12/Feb/20 10:46 AM,CPU,Program,P3 (Solution Desired),,
RTGPLAT-3492,1512527,143968606 [Gibraltar] gpu initialization skipped due to bad - AMDGIM_ERROR_PF_POST_VBIOS_FAIL,,,,,,,,,06/Feb/20 12:39 PM,07/Feb/20 12:45 PM,Firmware,General,P4 (No Impact/Notify),,
SWDEV-221799,1510176,Gibraltar [148790381] Documentation for gpuvsmi_allocate_vf,CST,Gibraltar,SMILIB,,,,,,04/Feb/20 2:34 AM,,,,P2 (Must Solve),25/Feb/20 7:35 AM,18/Mar/20 12:50 PM
SWDEV-221709,1509688,[Gibraltar][libGV][148641533]  make alloc_vf_with_parameters take parameters,Gibraltar,SMILIB,,,,,,24/Apr/20 11:46 AM,03/Feb/20 12:14 PM,,GPU Virtualization,General,P2 (Must Solve),11/Feb/20 11:14 AM,11/Feb/20 11:15 AM
SWDEV-221331,1507523,[Gibraltar] Stadia games are showing approx. 50pct lower score on navi12 720p 1080p,,,,,,,,05/Feb/20 1:21 PM,30/Jan/20 11:37 AM,,GPU Virtualization,Linux Guest Base Driver,P2 (Must Solve),05/Feb/20 1:20 PM,05/Feb/20 1:20 PM
SWDEV-221066,1506084,Gibraltar [148464885] Hang on Navi12 with libgv 1.9 and 20Q1-Beta-KMD-Pre-Release-Internal-Use-Only-Software,gibraltar,,,,,,,12/Feb/20 9:13 AM,28/Jan/20 5:26 PM,31/Jan/20 3:57 PM,GPU Virtualization,Hypervisor Driver,P2 (Must Solve),,
SWDEV-221064,1506082,Gibraltar [148398937] API to get BDF for all PFs -- gpuvsmi_get_pf_bdf,CST,Gibraltar,SMILIB,,,,,,28/Jan/20 5:24 PM,,,,P2 (Must Solve),11/Feb/20 11:24 AM,11/Feb/20 11:25 AM
SWDEV-221059,1506072,Gibraltar [148464500] Improve logging when an api fails,CST,Gibraltar,SMILIB,,,,,,28/Jan/20 5:08 PM,,,,P3 (Solution Desired),13/Feb/20 9:11 AM,21/Feb/20 6:43 AM
SWDEV-221036,1505895,Gibraltar [148395175] libgv1.9-beta has compile errors,CST,Gibraltar,,,,,,28/Apr/20 2:38 PM,28/Jan/20 2:18 PM,,GPU Virtualization,Hypervisor Driver,P2 (Must Solve),31/Jan/20 9:14 AM,31/Jan/20 9:14 AM
LWPVATS-59,1504335,[Gibraltar][Vats2] Vats2 installation stuck on depmod on MI-25,CST,Gibraltar,sprint_200210,,,,,06/May/20 12:46 PM,25/Jan/20 7:56 PM,,GPU Virtualization,VATS2,Undefined,25/Feb/20 1:59 AM,25/Feb/20 1:59 AM
SWDEV-220511,1502683,Gibraltar [148152372] AMDGIM_ERROR_PF_READ_VBIOS_FAIL on all gpus on a machine,CST,Gibraltar,,,,,,,23/Jan/20 12:14 AM,04/Jun/20 5:17 AM,GPU Virtualization,Hypervisor Driver,P3 (Solution Desired),,
SWDEV-220501,1502588,Gibraltar [148147219] ATOM parse table failed! on many machines running RC8,CST,Gibraltar,,,,,,,22/Jan/20 7:55 PM,,GPU Virtualization,Hypervisor Driver,P2 (Must Solve),,
VCESWT-4312,1502344,[Gibraltar][amdgflash] amdgflash crash on running in G's system,,,,,,,,,22/Jan/20 2:12 PM,,AMDGFLASH,AMDGFLASH,P1 (Gating),02/Mar/20 3:44 PM,02/Mar/20 3:44 PM
SWDEV-220454,1502233,Gibraltar [147698416] Fix warnings by treating them as errors,CST,Gibraltar,,,,,,30/Jan/20 2:21 PM,22/Jan/20 12:25 PM,30/Jan/20 2:17 PM,GPU Virtualization,Hypervisor Driver,Undefined,,
SWDEV-220306,1501401,"Gibraltar [147691944] PPSMC_MSG_SetDriverDramAddrLow failed, SET_DPM_POLICY_FAIL error raised",CST,Gibraltar,,,,,,,21/Jan/20 2:21 PM,,GPU Virtualization,Hypervisor Driver,P2 (Must Solve),,
VCESWT-4306,1498902,"[Gibraltar][amdgflash] amdflash failed with -pfx_device=0,2,4,6,8 -pfx_loadfw=... parameters.",Gibraltar,Gibraltar-Rome-Blocker,,,,,,,17/Jan/20 2:30 PM,,AMDGFLASH,AMDGFLASH,P2 (Must Solve),20/Jan/20 12:20 PM,20/Jan/20 12:21 PM
RTGPLAT-3314,1498330,[Gibraltar][NV12] G reported FRU reading error in NV12,Gibraltar,,,,,,,26/Feb/20 3:10 PM,17/Jan/20 8:34 AM,,Board/Socket Related,Board Design,P2 (Must Solve),,26/Feb/20 3:09 PM
SWDEV-219767,1497837,[Gibraltar][libgv1.9] Nice to have features for field debugging. ,,,,,,,,,16/Jan/20 4:59 PM,,GPU Virtualization,General,Undefined,,
SWDEV-219755,1497758,"[Gibraltar][libGV] Is there anyway to diff the ES, PRE-ES, QS NV12 card from libsmi interface? . ",,,,,,,,,16/Jan/20 3:27 PM,,,,Undefined,,
SWDEV-219588,1496791,[Gibraltar][libGV1.9] kernel crash when run alloc_vf_with_parameters from smi-lib/examples/basic-query,,,,,,,,09/Mar/20 9:01 AM,15/Jan/20 3:06 PM,09/Mar/20 9:01 AM,Linux - All Open (amdgpu),Base,P3 (Solution Desired),,
VCESWT-4293,1493603,[Gibraltar][AMDVBFLASH][V340L] G accidentally flash the MI25 vbios into the V340L,,,,,,,,,10/Jan/20 4:53 PM,,AMDVBFlash,AMDVBFlash,P2 (Must Solve),,
SWDEV-218574,1490599,[Gibraltar][Gibabytes][libGV] Interop issue with Gigabytes test systems use for V340L testing. ,,,,,,,,05/Oct/20 1:35 PM,07/Jan/20 12:25 PM,,GPU Virtualization,General,P2 (Must Solve),05/Oct/20 1:32 PM,05/Oct/20 1:33 PM
VCESWT-4285,1489806,Gibraltar [147150839] atiflash accessing kernel memory,CST,Gibraltar,,,,,,,06/Jan/20 3:22 PM,,AMDVBFlash,AMDVBFlash,P2 (Must Solve),04/Feb/20 9:35 AM,04/Feb/20 9:35 AM
SWDEV-217565,1485440,[Gibraltar][libGV] Have monitor tool use printf rather than printw. ,,,,,,,,,24/Dec/19 10:22 AM,,,,Undefined,,
SWDEV-217564,1485438,[Gibraltar][libGV]  Rename messages and kernel module in Libgv based drive,,,,,,,,28/Jan/20 10:11 AM,24/Dec/19 10:16 AM,27/Jan/20 10:45 AM,,,P2 (Must Solve),24/Jan/20 11:25 AM,24/Jan/20 11:25 AM
SWDEV-217461,1484911,Gibraltar [146643979] Timeout of waiting command complete,CST,Gibraltar,,,,,,,23/Dec/19 1:46 PM,,GPU Virtualization,Hypervisor Driver,Undefined,,
RTGPLAT-3088,1483450,[Gibraltar] V340 PFX FW config update to disable DPC,CST,Gibraltar,,,,,,,19/Dec/19 5:27 PM,,Firmware,General,P2 (Must Solve),,
VCESWT-4253,1482568,[Gibraltar][AMDVBFLASH][V340L] amdvbflash unable to read the flash from Semitruck EVT System. ,,,,,,,,07/Aug/20 4:36 PM,18/Dec/19 7:19 PM,19/Dec/19 3:18 PM,AMDVBFlash,AMDVBFlash,P1 (Gating),,
SWDEV-216903,1482376,[Gibraltar][146143463]Unable to get wave state from VM,CST,gibraltar,Gibraltar,gibraltar_19q3,gibraltar_customer,l1-security,NicetoHave,21/Jul/20 6:46 PM,18/Dec/19 1:27 PM,21/Jul/20 6:04 PM,GPU Virtualization,Linux Guest Base Driver,P3 (Solution Desired),,
SWDEV-215989,1477380,[Gibraltar][146033534]Many machines reporting AMDGIM_ERROR_VBIOS_INVALID,gibraltar,,,,,,,,11/Dec/19 1:09 PM,,GPU Virtualization,General Triage,P1 (Gating),,
SWDEV-214822,1469952,[Gibraltar][amdgpu][Rome] amdgpu from ubuntu 19.04 boot failed with V340L after auto update,,,,,,,,,02/Dec/19 2:12 PM,,Linux - All Open (amdgpu),Base,Undefined,,
SWDEV-213571,1463769,[Gibraltar][amdgpu-pro] Kernel fault on kdf when running clinfo in Ubuntu 18.04 + amdgpu-pro 19.40 in Semitruck + NV12 ,,,,,,,,,22/Nov/19 10:50 AM,,Linux - Pro (amdgpu),HSA KFD,Undefined,,
SWDEV-211627,1454982,143968606 [Gibraltar] Atom vbios fails to load - AMDGIM_ERROR_PF_POST_VBIOS_FAIL,,,,,,,,27/Feb/20 2:54 PM,12/Nov/19 2:24 AM,27/Feb/20 2:54 PM,GPU Virtualization,Hypervisor Driver,P3 (Solution Desired),,
VCESWT-4135,1449415,[Gibraltar][NV12] AGT output invalid PCIe Gen4 speed,Gibraltar,,,,,,,,05/Nov/19 2:41 PM,,AGT,AGT,P3 (Solution Desired),20/Nov/19 5:34 PM,20/Nov/19 5:34 PM
SWLRCE-261,1444489,[Gibraltar][143533272]AMDGIM_ERROR_PF_ECC_ERROR error reported on large number of machines,CST,gibraltar,gibraltar_customer,,,,,,29/Oct/19 5:46 PM,,,,Undefined,,
RTGPLAT-2659,1444173,[Gibraltar][143484015]Probing switchtec Management Endpoint on Gen4 PFX switch of Navi12 Caused AMD Rome Hosts to Reboot,CST,gibraltar,Gibraltar,gibraltar_customer,Gibraltar-Rome,,,05/Nov/19 12:19 PM,29/Oct/19 11:39 AM,,Driver,Others,P1 (Gating),,05/Nov/19 12:14 PM
PLAT-53850,1444167,[Gibraltar][143484015]Probing switchtec Management Endpoint on Gen4 PFX switch of Navi12 Caused AMD Rome Hosts to Reboot,CST,gibraltar,Gibraltar,gibraltar_customer,Gibraltar-Rome,,,29/Oct/19 11:35 AM,29/Oct/19 11:33 AM,29/Oct/19 11:35 AM,GPU,Board Design,Undefined,,
SWDEV-208982,1441289,[Gibraltar] Enable Linux Kernel 5.4 for Gaming Guest Instance VM,CST,gibraltar,Gibraltar,,,,,09/Jun/20 5:15 AM,24/Oct/19 12:41 PM,,,,P2 (Must Solve),29/Apr/20 5:20 AM,08/May/20 2:04 AM
SWDEV-208975,1441252,[Gibraltar][143267833] Enable Vulkan UMD SW stack with Clang compiler,amdvlk-task,CST,gibraltar,Gibraltar-vk,,,,,24/Oct/19 11:48 AM,,Vulkan,Vulkan Linux,P3 (Solution Desired),01/Apr/20 9:36 PM,01/Apr/20 9:37 PM
SWDEV-208974,1441250, [Gibraltar] Enable gaming SW stack with Clang compiler,CST,gibraltar,Gibraltar,,,,,,24/Oct/19 11:46 AM,,,,P3 (Solution Desired),04/Nov/19 2:54 AM,04/Nov/19 2:55 AM
LWPJAMASPPT-884,1439451,Request Jama access,,,,,,,,23/Oct/19 6:58 AM,22/Oct/19 5:20 PM,,,,Undefined,,23/Oct/19 6:56 AM
RTGPLAT-2507,1432701,[Gibraltar][142856658][NV12]  Some NV12 fail to show up in lspci in G's Semitruck platform,Gibraltar,Gibraltar_BLOCKING,,,,,,09/Apr/20 1:26 PM,14/Oct/19 12:54 PM,,Board/Socket Related,Board Design,P2 (Must Solve),,19/Nov/19 3:22 PM
SWDEV-208279,1431369,[Gibraltar][142332740] AMDGPU reset recovery broken in some cases,gibraltar,gibraltar_customer,,,,,,,11/Oct/19 11:30 AM,,GPU Virtualization,Hypervisor Driver,P2 (Must Solve),09/Jan/20 4:53 AM,10/Oct/20 1:38 AM
SWDEV-206983,1430575,Better Interpretation of option_vm_reboot_repeat_run_num,,,,,,,,,10/Oct/19 2:35 PM,10/Dec/19 1:29 AM,GPU Virtualization,VATS,Undefined,,
SWDEV-206837,1429758,[Gibraltar][142266307] Mailbox handshake potential failure during guest driver initialization,gibraltar,gibraltar_customer,gibraltar19q3,,,,,10/Oct/20 12:55 AM,09/Oct/19 6:15 PM,,GPU Virtualization,Linux Guest Base Driver,P1 (Gating),17/Nov/19 11:11 PM,25/Nov/19 12:12 AM
RTGPLAT-2430,1426781,[Gibraltar][NV12] amdgpu load failed on EthX board,gibraltar,gibraltar_customer,,,,,,25/Oct/19 1:05 PM,04/Oct/19 4:54 PM,,Driver,Other,P1 (Gating),,23/Oct/19 5:44 PM
SWDEV-204758,1417875,image_name_prefix configuration variable processing improvement,,,,,,,,,24/Sep/19 12:28 AM,10/Dec/19 1:37 AM,GPU Virtualization,VATS,Undefined,,
SWDEV-204707,1417512,[Gibraltar]amdgim_do_clrvffb is slow causing kernel tracebacks,gibraltar,gibraltar_customer,,,,,,21/Nov/19 12:02 PM,23/Sep/19 1:44 PM,,Customer Engineering (America),System Engineering (dGPU),P2 (Must Solve),26/Sep/19 11:48 AM,26/Sep/19 11:49 AM
SWDEV-204545,1416420,[Gibraltar][SRIOV] AMDGIM_ERROR_PF_VFS_SCHEDULE_SWITCH_FAILED ,,,,,,,,,20/Sep/19 1:57 PM,,Customer Engineering (America),System Engineering (dGPU),P2 (Must Solve),26/Sep/19 11:06 AM,26/Sep/19 11:07 AM
SWDEV-202183,1402325,[Gibraltar] Page-fault when DOOM running on all  4x GPU,CST,Gibraltar,,,,,,,03/Sep/19 6:30 PM,27/Feb/20 2:42 PM,GPU Virtualization,Linux Guest Base Driver,P2 (Must Solve),,
SWDEV-202134,1402073,[gibraltar] Segfault when DOOM is running on all GPU 4 x V340,CST,Gibraltar,,,,,,,03/Sep/19 1:03 PM,11/Sep/19 1:34 PM,GPU Virtualization,Linux Guest Base Driver,P3 (Solution Desired),,
SWDEV-199425,1384118,[Gibraltar] 2019 Q3 RC5 installation fails due to sources.list URL,CST,Gilbraltar,,,,,,08/Oct/19 9:32 PM,08/Aug/19 7:12 PM,,GPU Virtualization,VATS,P2 (Must Solve),08/Oct/19 9:31 PM,08/Oct/19 9:31 PM
SWDEV-199423,1384105,[Gibraltar][ROME] xgemm fail with IOMMU error when test with Rome CPU + V340L GPU,,,,,,,,,08/Aug/19 5:50 PM,,Linux - All Open (amdgpu),Video BIOS,Undefined,,
SWDEV-199274,1383403,[gibraltar] memcat write fails on V320,CST,gibraltar,,,,,,,08/Aug/19 12:40 AM,13/Aug/19 8:28 AM,GPU Virtualization,Vulkan Linux,Undefined,,
PLAT-49617,1382294,[Gibraltar][ROME] xgemm fail with IOMMU error when test with Rome CPU,,,,,,,,07/Aug/19 8:12 AM,06/Aug/19 2:38 PM,,CPU,Program,P2 (Must Solve),,07/Aug/19 8:10 AM
SWDEV-198726,1380709,"RGP capture trace issue with DOOM, TR2 etc.,",CST,Gibraltar,,,,,,,03/Aug/19 9:23 PM,24/Feb/20 4:35 PM,GPU Virtualization,Vulkan Linux,P3 (Solution Desired),,
SWDEV-198374,1378819,drop-2019-q3-V320-rc3 installation does not complete.,,,,,,,,06/May/20 12:45 PM,31/Jul/19 11:45 PM,06/May/20 12:45 PM,GPU Virtualization,VATS,Undefined,,
SWDEV-198158,1377630,[Gibraltar][libGV]  Need to get GPU board serial SN and read HBM Temp,,,,,,,,,30/Jul/19 2:00 PM,,,,Undefined,,
SWDEV-197654,1373942,Parametrize ethernet device assignment to base VM,,,,,,,,09/Dec/19 1:23 AM,25/Jul/19 2:15 PM,09/Dec/19 1:23 AM,GPU Virtualization,VATS,Undefined,,
SWDEV-196468,1367402,DPM test case uses hardcoded value for unload GIM timeout,,,,,,,,,17/Jul/19 1:10 AM,10/Dec/19 1:47 AM,GPU Virtualization,VATS,Undefined,,
SWDEV-196261,1366093,nmcli configuration to be included in auto-test VATS,Gibraltar,,,,,,,,15/Jul/19 4:40 PM,10/Dec/19 1:50 AM,GPU Virtualization,VATS,Undefined,,
SWDEV-196233,1365909,enable start default network on auto-test VATS when host just rebooted,"CST,",,,,,,,,15/Jul/19 1:29 PM,10/Dec/19 1:49 AM,GPU Virtualization,VATS,Undefined,,
SWDEV-195648,1361992,[Gibraltar] memcat write is not reliable ,CST,gibraltar,,,,,,18/Mar/20 8:01 PM,09/Jul/19 1:19 PM,18/Mar/20 6:28 PM,GPU Virtualization,3rd Party SW,P3 (Solution Desired),,
SWDEV-192720,1345607,V320 and MI-25 shows same DID 1002:6860 in PCIe configuration space,CST,Gibraltar,,,,,,13/Aug/20 1:44 PM,13/Jun/19 8:43 PM,09/Apr/20 3:46 AM,Firmware,VBIOS,P3 (Solution Desired),,
SWDEV-192601,1344548,The order of amdkfd and amdgpu can cause xgemm fail with multi GPU ,CST,gibraltar,,,,,,27/Feb/20 2:50 PM,12/Jun/19 5:40 PM,27/Feb/20 2:50 PM,GPU Virtualization,General,Undefined,,
VCESWT-3769,1335056,[Gibraltar] Customer reported issue with atiflash when debugging P0,,,,,,,,07/Aug/20 4:35 PM,29/May/19 12:07 PM,04/Sep/19 11:28 AM,AMDVBFlash,AMDVBFlash,P2 (Must Solve),02/Sep/19 11:34 PM,02/Sep/19 11:35 PM
EL2-157,1330749,[Gibraltar] Performance issue observed on V340L + Daytona Rome B0 platform. . ,Gibraltar-Rome,,,,,,,05/Aug/19 3:15 PM,22/May/19 5:14 PM,,NA,NA,P2 (Must Solve),,23/Jul/19 12:24 PM
SWLRCE-237,1317298,Navi-10 test/bring-up,,,,,,,,01/May/19 4:26 PM,01/May/19 4:15 PM,01/May/19 4:26 PM,,,Undefined,,01/May/19 4:26 PM
SWDEV-188313,1317237,[Gibraltar]  Seeing TESTSMC_MSG_GetAgmTableVersion   error msg in the dmesg in both our tests and Customer's Test.,gibraltar,,,,,,,,01/May/19 3:26 PM,,GPU Virtualization,General Triage,P2 (Must Solve),07/May/19 2:22 PM,29/May/19 12:33 PM
