"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipStreamCreate",2,242591449,121295724,78.21228508317571
"hipFree",1,66651793,66651793,21.48875839156563
"hipLaunchKernel",2,907655,453827,0.2926309724015452
"hipMalloc",1,14740,14740,0.004752224725472537
"__hipPushCallConfiguration",2,2160,1080,0.0006963911402320679
"hipSetDevice",1,1620,1620,0.0005222933551740509
"__hipPopCallConfiguration",2,1100,550,0.00035464363622929383
