"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipStreamCreate",2,275403555,137701777,74.41123599050266
"hipMemcpy",2,94159743,47079871,25.441003683405903
"hipLaunchKernel",2,510210,255105,0.1378535462794384
"hipFree",1,16724,16724,0.004518654491243464
"hipMalloc",1,14436,14436,0.00390046019107813
"__hipPushCallConfiguration",2,4040,2020,0.0010915668586835444
"__hipPopCallConfiguration",2,1466,733,0.0003960982709975436
